ID_event;Sport;Event
63106;Swimming;Swimming Men's 100 metres Freestyle For Sailors
63524;Gymnastics;Gymnastics Men's Parallel Bars, Teams
63627;Swimming;Swimming Men's 500 metres Freestyle
63646;Wrestling;Wrestling Men's Unlimited Class, Greco-Roman
63724;Cycling;Cycling Men's 12-Hours Race
63888;Shooting;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team
67617;Gymnastics;Gymnastics Men's Club Swinging
70322;Swimming;Swimming Men's 220 yard Freestyle
70323;Swimming;Swimming Men's 880 yard Freestyle
70324;Swimming;Swimming Men's One Mile Freestyle
70325;Swimming;Swimming Men's 4 x 50 Yard Freestyle Relay
70326;Swimming;Swimming Men's Plunge For Distance
70515;Cycling;Cycling Men's 1/2 mile
70516;Cycling;Cycling Men's 5 mile
70517;Cycling;Cycling Men's 25 mile
70989;Athletics;Athletics Men's Standing Triple Jump
70995;Shooting;Shooting Men's Military Pistol, 30 metres
71322;Cycling;Cycling Men's 1/3 mile
71324;Cycling;Cycling Men's 1 mile
71325;Cycling;Cycling Men's 2 mile
71374;Athletics;Athletics Men's 60 metres
71790;Roque;Roque Men's Singles
71845;Archery;Archery Men's Double American Round
71847;Archery;Archery Men's Team Round
72046;Golf;Golf Men's Team
72460;Athletics;Athletics Men's All-Around Championship
72590;Athletics;Athletics Men's 2,590 metres Steeplechase
72728;Archery;Archery Women's Double Columbia Round
72729;Archery;Archery Women's Double National Round
73096;Swimming;Swimming Men's 50 yard Freestyle
73097;Swimming;Swimming Men's 100 yard Freestyle
73099;Swimming;Swimming Men's 440 yard Freestyle
73639;Lacrosse;Lacrosse Men's Lacrosse
73728;Gymnastics;Gymnastics Men's Individual All-Around, 4 Events
75051;Jeu De Paume;Jeu De Paume Men's Singles
75109;Fencing;Fencing Men's Single Sticks, Individual
75221;Gymnastics;Gymnastics Men's Tumbling
75503;Swimming;Swimming Men's 100 Yard Backstroke
75527;Swimming;Swimming Men's 440 Yard Breaststroke
76286;Archery;Archery Women's Team Round
80235;Weightlifting;Weightlifting Men's All-Around Dumbbell Contest
99976;Gymnastics;Gymnastics Men's Horizontal Bar, Teams
104823;Alpinism;Alpinism Mixed Alpinism
125091;Archery;Archery Men's Pole Archery, Small Birds, Individual
125092;Archery;Archery Men's Pole Archery, Large Birds, Individual
125093;Archery;Archery Men's Pole Archery, Small Birds, Team
125094;Archery;Archery Men's Pole Archery, Large Birds, Team
143305;Aeronautics;Aeronautics Mixed Aeronautics
151544;Sailing;Sailing Mixed 40 metres
151931;Sailing;Sailing Mixed 30 metres
158978;Racquets;Racquets Men's Singles
158979;Racquets;Racquets Men's Doubles
161672;Motorboating;Motorboating Mixed B-Class (Under 60 Feet)
161673;Motorboating;Motorboating Mixed C-Class
162763;Sailing;Sailing Mixed 18 foot
